Condition,Movie,Cell ID,Generation,R.P,G.P,B.P,Parent MkP,Parent MkP.2,Parent ErP,Parent ErP.2,Parent MEP,Parent MEP.2,Generations Since Blue,Parent Type,First Frame,Last Frame,# of Time Frames,1,2,3,4,5,2Hr Conversion,2Hr Conversion.1,30Min Conversion,30Min Conversion.1,30Min Conversion.2,10Min Conversion,10Min Conversion.1,Sum of Conversions,Sum of Conversions.1,Sum of Conversions.2,Sum of Conversions.3,Sum of Conversions.4,Sum of Conversions.5,Sum of Conversions.6,Hours,First Time,Last Time,Total Time,1st X,1st Y,Last X,Last Y,Diffusion Pixel Distance,Diffusion Micron Distance,Total Pixel Distance,Total Micron Distance,Directionality,Avg Velocity,1 Peak Velocity,1 Peak Frame,1 Peak Time,3 Peak Velocity,3 Peak Frame 1,3 Peak Time 1,3 Peak Frame 2,3 Peak Time 2,3 Peak Frame 3,3 Peak Time 3,R.D1,G.D1,B.D1,Daughter 1 MkP,Daughter 1 MkP.2,Daughter 1 ErP,Daughter 1 ErP.2,Daughter 1 MEP,Daughter 1 MEP.2,Daughter 1 Type,R.D2,G.D2,B.D2,Daughter 2 MkP,Daughter 2 MkP.2,Daughter 2 ErP,Daughter 2 ErP.2,Daughter 2 MEP,Daughter 2 MEP.2,Daughter 2 Type,MEP Expansion,MEP Expansion.2,MEP Maintenance+E,MEP Maintenance+E.1,MEP Maintenance+E.2,MEP Maintenance+E.3,MEP Maintenance+Mk,MEP Maintenance+Mk.1,MEP Maintenance+Mk.2,MEP Maintenance+Mk.3,MEP Maintenance,MEP Exhaustion,MEP Exhaustion.1,MEP Exhaustion.2,MEP Exhaustion.3,ErP Expansion,ErP Expansion.2,MkP Expansion,Division Outcome,Division Outcome.6
Cntrl MEP,04192017_sp1,Sheet398,8,1,0,0,0,,ErP,ErP,0,,3,ErP,274,291,18,18,264,-246,-8,26,36,-492,132,9,13,4.5,-2,0,0,0,9,0,0,0,9,199.5,208,8.5,682.2083333,446.0677083,684.4897959,442.4285714,4.295158779,48.10577833,48.5794946,544.0903396,11.31029075,60.45448217,6.286171095,290,0.5,4.835613301,290,0.5,278,0.5,283,0.5,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MEP,04192017_sp1,Sheet399,8,1,0,0,0,,ErP,ErP,0,,3,ErP,274,291,18,18,264,-246,-8,26,36,-492,132,9,13,4.5,-2,0,0,0,9,0,0,0,9,199.5,208,8.5,668.3196721,437.704918,666.7118644,436.9745763,1.76591188,19.77821305,38.86642742,435.3039872,22.00926777,48.36710968,3.560471909,282,0.5,3.516062649,282,0.5,283,0.5,291,0.5,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MEP,04192017_sp1,Sheet400,7,1,0,0,0,,ErP,ErP,0,,2,ErP,194,225,32,32,198,-166,-74,106,64,-332,99,16,53,8,-18.5,0,0,0,16,0,0,0,16,159.5,175,15.5,677,436,677.9425982,426.2960725,9.749599998,109.19552,92.98294563,1041.408991,9.53710364,65.08806194,9.241955898,196,0.5,6.700551597,196,0.5,199,0.5,204,0.5,1,0,0,0,,ErP,ErP,0,,ErP,1,0,0,0,,ErP,ErP,0,,ErP,0,,0,0,0,,0,0,0,,0,0,0,,1,ErP Expansion,0,,ErP Expansion,
Cntrl MEP,04192017_sp1,Sheet401,8,1,0,0,0,,ErP,ErP,0,,3,ErP,226,291,66,66,264,-198,-8,74,132,-396,132,33,37,16.5,-2,0,0,0,33,0,0,0,33,175.5,208,32.5,670.0773481,428,674.6538462,413,15.6826125,175.64526,160.5542772,1798.207904,10.2377252,54.49114862,8.62861387,274,0.5,7.827137603,274,0.5,278,0.5,287,0.5,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MEP,04192017_sp1,Sheet402,8,1,0,0,0,,ErP,ErP,0,,3,ErP,226,291,66,66,264,-198,-8,74,132,-396,132,33,37,16.5,-2,0,0,0,33,0,0,0,33,175.5,208,32.5,682.6587302,424,683,422,2.028907367,22.72376251,123.1126723,1378.86193,60.6792968,41.78369484,4.637848469,278,0.5,4.442743782,278,0.5,263,0.5,282,0.5,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MEP,04192017_sp1,Sheet403,4,0,0,1,0,,0,,MEP,MEP,,MEP,62,103,42,42,76,-34,-196,238,84,-68,38,21,119,10.5,-49,0,0,0,21,0,0,0,21,93.5,114,20.5,683.939759,475.5060241,688.3711656,480.095092,6.379412902,71.4494245,225.899052,2530.069382,35.41063346,120.4794944,9.635687138,92,0.5,9.098993769,92,0.5,91,0.5,76,0.5,0,0,1,0,,0,,MEP,MEP,MEP,1,0,0,0,,ErP,ErP,0,,ErP,0,,1,0,1,MEP Maintenance+E,0,0,0,,0,0,0,,0,,0,,MEP Maintenance+E,
Cntrl MEP,04192017_sp1,Sheet404,5,0,0,1,0,,0,,MEP,MEP,,MEP,104,144,41,41,117,-76,-155,196,82,-152,58.5,20.5,98,10.25,-38.75,0,0,0,20.5,0,0,0,20.5,114.5,134.5,20,681.503268,480.4052288,720.3526682,476.2575406,39.07018321,437.5860519,132.1008059,1479.529026,3.3811156,72.17214763,35.47487791,115,0.5,17.32164419,115,0.5,116,0.5,117,0.5,0,0,1,0,,0,,MEP,MEP,MEP,1,0,0,0,,ErP,ErP,0,,ErP,0,,1,0,1,MEP Maintenance+E,0,0,0,,0,0,0,,0,,0,,MEP Maintenance+E,
Cntrl MEP,04192017_sp1,Sheet405,6,0,0,1,0,,0,,MEP,MEP,,MEP,145,184,40,40,157,-117,-115,155,80,-234,78.5,20,77.5,10,-28.75,0,0,0,20,0,0,0,20,135,154.5,19.5,717.5555556,470.3547009,740.565032,456.9275053,26.64067539,298.3755643,113.3293232,1269.288419,4.253995873,63.46442097,8.007232654,158,0.5,7.027026674,158,0.5,166,0.5,179,0.5,0,0,1,0,,0,,MEP,MEP,MEP,0,0,1,0,,0,,MEP,MEP,MEP,1,MEP Expansion,0,0,0,,0,0,0,,0,0,0,,0,,0,,MEP Expansion,
Cntrl MEP,04192017_sp1,Sheet406,7,0,0,1,0,,0,,MEP,MEP,,MEP,185,221,37,37,194,-157,-78,115,74,-314,97,18.5,57.5,9.25,-19.5,0,0,0,18.5,0,0,0,18.5,155,173,18,731.1497797,455.2687225,744.3431085,445.8093842,16.23400767,181.8208859,142.6694621,1597.897976,8.78830816,86.37286354,12.27411974,203,0.5,10.08878444,203,0.5,210,0.5,211,0.5,1,0,0,0,,ErP,ErP,0,,ErP,0,0,1,0,,0,,MEP,MEP,MEP,0,,0,1,1,MEP Maintenance+E,0,0,0,,0,0,0,,0,,0,,MEP Maintenance+E,
Cntrl MEP,04192017_sp1,Sheet407,8,1,0,0,0,,ErP,ErP,0,,1,ErP,222,271,50,50,244,-194,-28,78,100,-388,122,25,39,12.5,-7,0,0,0,25,0,0,0,25,173.5,198,24.5,736.9503546,442.6524823,769.3802395,418.248503,40.58634795,454.567097,210.843322,2361.445207,5.194932106,94.45780827,22.56202963,254,0.5,18.07881963,254,0.5,251,0.5,244,0.5,1,0,0,0,,ErP,ErP,0,,ErP,1,0,0,0,,ErP,ErP,0,,ErP,0,,0,0,0,,0,0,0,,0,0,0,,1,ErP Expansion,0,,ErP Expansion,
Cntrl MEP,04192017_sp1,Sheet408,9,1,0,0,0,,ErP,ErP,0,,2,ErP,272,359,88,88,332,-244,60,28,176,-488,166,44,14,22,15,0,0,0,0,14,0,15,29,198.5,226.5,28,772.7717391,414.2282609,845.1618625,435.0509978,75.32540301,843.6445137,254.0075081,2844.88409,3.372136065,98.09945139,22.17472073,338,0.25,12.28215849,338,0.25,339,0.25,330,0.25,1,0,0,0,,ErP,ErP,0,,ErP,1,0,0,0,,ErP,ErP,0,,ErP,0,,0,0,0,,0,0,0,,0,0,0,,1,ErP Expansion,0,,ErP Expansion,
Cntrl MEP,04192017_sp1,Sheet409,10,1,0,0,0,,ErP,ErP,0,,3,ErP,360,432,73,73,405,-332,133,-60,146,-664,202.5,36.5,-30,18.25,33.25,0,0,0,0,0,18.25,0,18.25,226.75,244.75,18,840.9751553,436.2919255,883.9255319,469.893617,54.53263728,610.7655375,193.264191,2164.558939,3.544009618,118.6059693,11.71002293,401,0.25,9.025825781,401,0.25,402,0.25,395,0.25,1,0,0,0,,ErP,ErP,0,,ErP,1,0,0,0,,ErP,ErP,0,,ErP,0,,0,0,0,,0,0,0,,0,0,0,,1,ErP Expansion,0,,ErP Expansion,
